A|Agricultura, ganadería, silvicultura y pesca
01|Agricultura, ganadería, caza y actividades de los servicios relacionados con las mismas
011|Cultivos no perennes
0111|Cultivo de cereales (excepto arroz), leguminosas y semillas oleaginosas
0112|Cultivo de arroz
0113|Cultivo de hortalizas, raíces y tubérculos
0114|Cultivo de caña de azúcar
0115|Cultivo de tabaco
0116|Cultivo de plantas para fibras textiles
0119|Otros cultivos no perennes
012|Cultivos perennes
0121|Cultivo de la vid
0122|Cultivo de frutos tropicales y subtropicales
0123|Cultivo de cítricos
0124|Cultivo de frutos con hueso y pepitas
0125|Cultivo de otros árboles y arbustos frutales y frutos secos
0126|Cultivo de frutos oleaginosos
0127|Cultivo de plantas para bebidas
0128|Cultivo de especias, plantas aromáticas, medicinales y farmacéuticas
0129|Otros cultivos perennes
013|Propagación de plantas
0130|Propagación de plantas
014|Producción ganadera
0141|Explotación de ganado bovino para la producción de leche
0142|Explotación de otro ganado bovino y búfalos
0143|Explotación de caballos y otros equinos
0144|Explotación de camellos y otros camélidos
0145|Explotación de ganado ovino y caprino
0146|Explotación de ganado porcino
0147|Avicultura
0149|Otras explotaciones de ganado
015|Producción agrícola combinada con la producción ganadera
0150|Producción agrícola combinada con la producción ganadera
016|Actividades de apoyo a la agricultura, a la ganadería y de preparación posterior a la cosecha
0161|Actividades de apoyo a la agricultura
0162|Actividades de apoyo a la ganadería
0163|Actividades de preparación posterior a la cosecha
0164|Tratamiento de semillas para reproducción
017|Caza, captura de animales y servicios relacionados con las mismas
0170|Caza, captura de animales y servicios relacionados con las mismas
02|Silvicultura y explotación forestal
021|Silvicultura y otras actividades forestales
0210|Silvicultura y otras actividades forestales
022|Explotación de la madera
0220|Explotación de la madera
023|Recolección de productos silvestres, excepto madera
0230|Recolección de productos silvestres, excepto madera
024|Servicios de apoyo a la silvicultura
0240|Servicios de apoyo a la silvicultura
03|Pesca y acuicultura
031|Pesca
0311|Pesca marina
0312|Pesca en agua dulce
032|Acuicultura
0321|Acuicultura marina
0322|Acuicultura en agua dulce
B|Industrias extractivas
05|Extracción de antracita, hulla y lignito
051|Extracción de antracita y hulla
0510|Extracción de antracita y hulla
052|Extracción de lignito
